CRT,SectorName_x,FuelName,SectorID,FuelID,SectorName_y,GNFR
1.A.3.b.iii,Heavy duty trucks and buses,Fossil part of biodiesel,3300,250,Trucks (>3.5t),F1-3*
1.A.3.b.iii,Heavy duty trucks and buses,Gaseous fuels,3300,300,Trucks (>3.5t),F1-3*
1.A.3.b.iii,Heavy duty trucks and buses,Gasoline,3300,230,Trucks (>3.5t),F1-3*
1.A.3.b.iii,Heavy duty trucks and buses,Kerosene,3300,240,Trucks (>3.5t),F1-3*
1.A.3.b.iii,Heavy duty trucks and buses,Liquefied petroleum gases (LPG),3300,220,Trucks (>3.5t),F1-3*
1.A.3.b.iii,Heavy duty trucks and buses,Lubricant Oil,3300,275,Trucks (>3.5t),F1-3*
1.A.3.b.iii,Heavy duty trucks and buses,Lubricants,3300,275,Trucks (>3.5t),F1-3*
1.A.3.b.iii,Heavy duty trucks and buses,Other,3300,500,Trucks (>3.5t),F1-3*
1.A.3.b.iii,Heavy duty trucks and buses,Other fossil fuels,3300,500,Trucks (>3.5t),F1-3*
1.A.3.b.iii,Heavy duty trucks and buses,Other liquid fuels,3300,250,Trucks (>3.5t),F1-3*
,,,3310,,Trucks (>3.5t) - highway,F1-3*
,,,3320,,Trucks (>3.5t) - urban,F1-3*
,,,3330,,Trucks (>3.5t) - rural,F1-3*
,,,3400,,Buses,F1-3*
,,,3410,,Buses - highway,F1-3*
,,,3420,,Buses - urban,F1-3*
,,,3430,,Buses - rural,F1-3*
1.A.3.b.iv,Motorcycles,Biomass,3500,400,Motorcycles,F1-3*
1.A.3.b.iv,Motorcycles,Diesel oil,3500,250,Motorcycles,F1-3*
1.A.3.b.iv,Motorcycles,Gaseous fuels,3500,300,Motorcycles,F1-3*
1.A.3.b.iv,Motorcycles,Gasoline,3500,230,Motorcycles,F1-3*
1.A.3.b.iv,Motorcycles,Kerosene,3500,240,Motorcycles,F1-3*
1.A.3.b.iv,Motorcycles,Liquefied petroleum gases (LPG),3500,220,Motorcycles,F1-3*
1.A.3.b.iv,Motorcycles,Lubricant Oil,3500,275,Motorcycles,F1-3*
1.A.3.b.iv,Motorcycles,Lubricants,3500,275,Motorcycles,F1-3*
1.A.3.b.iv,Motorcycles,Lubricants (two-stroke engines),3500,275,Motorcycles,F1-3*
1.A.3.b.iv,Motorcycles,Other,3500,500,Motorcycles,F1-3*
1.A.3.b.iv,Motorcycles,Other fossil fuels,3500,500,Motorcycles,F1-3*
1.A.3.b.iv,Motorcycles,Other liquid fuels,3500,230,Motorcycles,F1-3*
,,,3510,,Motorcycles - highway,F1-3*
,,,3520,,Motorcycles - urban,F1-3*
,,,3530,,Motorcycles - rural,F1-3*
,,,3600,,Mopeds,F1-3*
,,,3610,,Mopeds - highway,F1-3*
,,,3620,,Mopeds - urban,F1-3*
,,,3630,,Mopeds - rural,F1-3*
,,,3700,,Brake wear,F4
,,,3710,,Brake wear - Passenger cars,F4
,,,3711,,Brake wear - Passenger cars - highway,F4
